
GD4GD41CBonos Globales Argentina USD Step Up 2041,"US$ 32,50","0,00%",0,"0,20 %","0,00","0,00","0,00","5,84",10/07/2023,Ver detalle  Operar
GD4GD41DBonos Globales Argentina USD Step Up 2041,"US$ 34,49","0,70%",13.537,"0,19 %","33,77","33,77","34,50","5,98",19:56,Ver detalle  Operar
GD4GD46Bonos Globales Argentina USD Step Up 2046,"AR$ 15.900,00","1,27%",5.235.666,"0,24 %","16.150,00","15.560,00","16.200,00","4,38",20:00,Ver detalle  Operar
GD4GD46CBonos Globales Argentina USD Step Up 2046,"US$ 27,09","0,00%",0,"0,26 %","0,00","0,00","0,00","4,35",10/07/2023,Ver detalle  Operar
GD4GD46DBonos Globales Argentina USD Step Up 2046,"US$ 31,33","2,72%",4.918,"0,26 %","31,15","30,00","31,33","4,19",20:00,Ver detalle  Operar
"NO2NO20Bogar 2020 CER + 2,00%","AR$ 26,35","0,00%",0,"-1,00 %","0,00","0,00","0,00","-1,00",30/09/2020,Ver detalle  Operar
"PAPPAP0Par 2038 CER + 2,5% Step-Up","AR$ 3.600,00","1,18%",22.969,"0,15 %","3.600,00","3.600,00","3.700,00","7,54",20:00,Ver detalle  Operar
"PARPARPPar 2038 CER + 2,00%","AR$ 3.830,00","0,52%",3.530.089,"0,09 %","3.810,00","3.740,00","3.820,00","8,50",19:55,Ver detalle  Operar
"PR1PR13Bocon 2024 CER + 2,00%","AR$ 812,00","-2,16%",3.000.720,"-0,35 %","825,80","800,00","839,90","0,39",20:00,Ver detalle  Operar
T2VT2V3BONO REP ARG VINC USD V31/07/23,"AR$ 26.476,00","-0,09%",890.396.672,"1,02 %","26.800,00","26.460,00","26.800,00","0,00",20:00,Ver detalle  Operar
T2XT2X3BONCER 13/08/2023 (Reapertura T2X3) T2X3,"AR$ 487,20","0,15%",5.089.922.608,"-0,01 %","495,85","486,10","495,85","0,08",20:00,Ver detalle  Operar
"T2XT2X4BONOS DEL TESORO NACIONAL EN PESOS AJUSTADO POR CER 1,55%","AR$ 375,75","-0,66%",93.504.386,"0,08 %","374,50","370,70","385,90","0,98",19:56,Ver detalle  Operar
TC2TC23TC23,"AR$ 921,00","0,00%",0,"0,00 %","0,00","0,00","0,00","0,00",01/03/2023,Ver detalle  Operar
TC2TC25PBono Tesoro Nacional en Pesos CER+4% (BONCER 2025),"AR$ 1.094,50","-0,32%",207.626,"0,09 %","1.095,00","1.071,00","1.095,00","1,65",20:00,Ver detalle  Operar
TDATDA24BONO NACION MONEDA DUAL 30/04/2024,"AR$ 29.080,00","0,07%",1.376.064.171,"0,00 %","29.060,00","29.060,00","29.250,00","0,00",20:00,Ver detalle  Operar
TDFTDF24BONO NACION MONEDA DUAL 28/02/24,"AR$ 29.140,00","0,14%",3.000.943.426,"0,00 %","28.810,00","28.810,00","29.400,00","0,00",20:00,Ver detalle  Operar
TDJTDJ23BONO DE LA NACION ARGENTINA EN MONEDA DUAL JUNIO DE 2023,"AR$ 26.176,00","0,00%",0,"0,00 %","0,00","0,00","0,00","0,00",27/06/2023,Ver detalle  Operar
TDLTDL23BONO NACION MONEDA DUAL 31/07/2023,"AR$ 27.350,00","0,00%",1.750.583.994,"0,00 %","27.080,00","27.080,00","27.875,00","0,00",20:00,Ver detalle  Operar
TDSTDS23BONO DE LA NACION ARGENTINA EN MONEDA DUAL SEPTIEMBRE DE 2023,"AR$ 28.220,00","0,39%",562.317.568,"0,00 %","28.444,00","28.150,00","28.460,00","0,00",20:00,Ver detalle  Operar
